City_1,CO,NO2,O3,SO2,PM2.5,PM10,overall_aqi
Denton,220.3,6.0,77.25,1.25,3.68,4.31,105
Miami Beach,223.64,8.31,25.39,1.06,1.58,2.63,21
Modesto,226.97,5.57,77.25,0.42,1.1,1.98,105
Southfield,440.6,22.96,17.17,0.72,8.24,11.48,28
Portland,383.85,23.99,1.21,0.48,6.19,9.41,29
North Little Rock,243.66,4.5,76.53,0.54,7.55,8.42,103
Yonkers,600.82,56.89,0.22,1.71,18.86,28.3,71
Atlanta,317.1,14.74,42.92,1.42,15.14,16.5,49
Cambridge,267.03,5.18,58.65,1.3,1.44,2.51,49
Wilmington,447.27,33.93,2.24,0.38,13.3,17.67,43
Fargo,250.34,1.84,50.78,0.15,0.74,0.89,43
Glendale,216.96,6.0,97.28,1.16,2.8,4.87,155
Abilene,205.28,1.46,66.52,0.22,1.49,2.07,73
Bismarck,253.68,0.88,81.54,0.02,1.44,1.51,116
Lawton,196.93,1.39,69.38,0.08,1.57,1.76,82
Fremont,310.42,27.42,42.2,2.71,6.74,15.22,35
Redding,260.35,10.8,48.64,0.27,1.39,1.76,41
Johnson City,387.19,25.71,45.78,0.7,10.42,12.5,38
San Tan Valley,196.93,4.07,70.81,0.13,4.08,13.48,86
Deerfield Beach,333.79,32.9,1.14,3.87,3.74,5.0,41
Warren,460.63,29.47,10.64,0.84,8.9,12.28,36
Fresno,220.3,3.21,101.57,0.53,2.22,2.93,166
Auburn,260.35,4.88,57.22,0.17,10.35,10.47,48
Kissimmee,243.66,4.46,56.51,0.59,4.76,5.03,47
Grand Prairie,223.64,5.36,81.54,1.74,5.19,6.26,116
Chattanooga,297.07,10.03,40.77,0.63,17.63,20.41,54
Ontario,380.52,41.13,53.64,2.86,18.54,24.93,56
Newton,393.87,21.94,45.06,0.54,22.05,26.25,63
Frederick,297.07,14.57,42.56,0.97,8.03,9.77,36
Visalia,216.96,3.04,108.72,0.62,3.6,4.58,184
Clarksville,257.02,4.54,77.25,0.52,15.02,16.01,105
Saint George,226.97,0.92,28.25,0.81,2.09,7.95,23
Davie,250.34,12.0,14.84,1.27,1.98,3.04,15
Medford,433.92,33.59,30.04,0.89,22.82,27.0,64
North Richland Hills,213.62,4.07,80.11,1.07,3.69,4.42,112
Skokie,280.38,10.37,103.0,7.15,7.47,9.52,170
Missouri City,293.73,22.96,47.92,5.36,4.88,6.84,40
Miramar,240.33,12.85,17.7,1.67,1.96,2.99,16
West Jordan,307.08,40.44,20.39,2.38,3.21,5.54,50
Evansville,307.08,7.11,80.82,2.68,16.59,18.05,114
The Woodlands,287.06,25.36,50.78,5.96,6.8,8.64,43
Town 'n' Country,290.39,10.37,44.35,0.81,4.86,5.1,37
Rochester Hills,377.18,16.97,18.95,0.21,5.73,10.81,21
Longmont,188.59,3.51,77.96,1.45,3.23,4.12,107
Suffolk,390.53,24.68,6.53,0.48,21.93,25.51,63
Colorado Springs,158.55,0.95,67.95,0.57,2.56,3.75,77
Lewisville,240.33,10.2,73.67,2.44,5.29,6.39,95
Portsmouth,201.94,6.86,37.19,1.21,13.5,16.46,43
Santa Maria,230.31,0.88,48.64,0.25,1.39,1.47,41
Mount Pleasant,210.29,4.11,62.23,4.83,4.6,6.1,60
Saint Petersburg,233.65,5.23,60.08,4.65,1.34,1.75,53
Schaumburg,367.17,25.71,84.4,8.94,17.48,20.88,123
Manteca,213.62,3.81,74.39,0.4,0.64,1.2,98
Spokane Valley,380.52,30.5,18.77,0.3,2.76,3.85,38
Aurora,574.11,87.74,8.49,11.8,13.73,19.15,104
Rockville,707.63,45.24,0.0,1.51,20.15,25.75,59
Roswell,350.48,19.88,52.21,2.71,19.66,21.66,58
Knoxville,614.17,68.55,3.71,1.67,22.16,24.6,85
San Marcos,206.95,3.64,65.8,0.13,2.1,2.65,71
Vallejo,220.3,3.21,73.67,0.51,1.82,3.56,95
San Francisco,220.3,1.31,76.53,0.84,6.0,15.45,103
Mesquite,216.96,4.07,78.68,0.67,3.87,5.18,109
Chula Vista,226.97,6.43,97.28,1.58,7.32,14.19,155
Lexington-Fayette  county,283.72,13.37,52.93,1.18,7.94,8.59,44
Yakima,263.69,8.23,47.21,0.13,1.05,1.74,40
Wichita Falls,200.27,1.37,68.67,0.1,1.21,1.4,80
Beaverton,270.37,12.51,15.2,0.19,4.17,6.18,15
Flagstaff,155.21,0.62,89.41,0.15,3.21,8.21,136
Cape Coral,240.33,2.91,32.19,0.37,1.2,1.4,27
Lee's Summit,213.62,2.91,78.68,1.43,5.66,6.05,109
Oklahoma City,208.62,3.38,78.68,0.47,2.61,2.88,109
McAllen,216.96,3.09,46.49,0.08,2.44,3.46,39
Odessa,226.97,1.18,77.25,0.88,1.58,2.05,105
Toledo,260.35,27.42,18.95,0.13,10.05,15.55,34
Carrollton,233.65,8.14,77.25,2.18,5.3,6.46,105
Lafayette,216.96,3.34,69.38,1.12,3.46,3.86,82
Gresham,397.21,34.27,5.45,2.24,6.16,7.78,42
Menifee,323.77,11.31,168.8,6.2,30.3,39.54,220
Livermore,257.02,16.11,70.81,2.74,2.75,4.58,86
Edmond,206.95,3.21,79.39,0.45,2.69,3.01,110
Baltimore,460.63,36.67,2.53,0.86,12.43,21.76,45
Layton,320.44,45.24,19.49,1.18,6.22,7.04,56
Roseville,220.3,4.16,74.39,0.19,0.63,1.36,98
Tempe,230.31,11.48,103.0,2.15,3.33,9.47,170
Concord,270.37,9.17,30.4,0.11,7.74,8.51,25
Rancho Cucamonga,387.19,41.47,70.81,3.82,26.96,34.07,86
North Charleston,370.5,19.36,21.64,0.48,24.16,25.16,67
Riverview,216.96,8.31,6.26,0.29,3.07,3.74,10
Plantation,250.34,12.0,14.84,1.27,1.98,3.04,15
Lubbock,188.59,1.97,74.39,0.33,4.77,12.18,98
Alhambra,310.42,36.67,38.27,1.33,5.05,11.91,45
Renton,377.18,38.73,26.46,5.84,5.68,8.36,48
Grand Rapids,640.87,44.55,0.06,1.01,14.64,17.72,55
Miami,223.64,8.31,25.39,1.06,1.58,2.63,21
Orlando,253.68,9.77,51.5,1.8,4.85,5.37,43
Sacramento,223.64,4.71,75.1,0.29,0.66,0.99,100
Vancouver,317.1,16.11,21.1,1.07,1.53,5.67,20
Rancho Cordova,273.71,13.54,64.37,0.92,1.4,2.18,66
South Jordan,447.27,55.52,3.84,1.65,8.14,10.33,69
Trenton,327.11,14.22,44.7,0.57,11.15,15.53,37
Arlington Heights,323.77,19.54,92.98,7.87,11.4,14.14,144
Deltona,226.97,3.17,61.51,0.44,3.28,3.76,57
Kansas City,233.65,8.74,74.39,4.71,5.91,6.54,98
Surprise,183.58,2.12,110.15,0.19,4.25,11.79,187
Charleston,333.79,14.4,51.5,1.15,23.02,23.94,65
Flower Mound,223.64,6.43,77.96,1.83,4.38,5.12,107
Bloomington,236.99,3.47,75.82,2.09,7.99,8.65,102
Little Rock,243.66,4.5,76.53,0.54,7.55,8.42,103
Newport News,453.95,30.5,26.11,1.31,21.35,24.4,61
Temecula,260.35,7.37,120.16,2.59,20.0,29.03,201
Greenville,317.1,10.45,42.2,0.32,17.26,19.92,53
Santa Fe,161.89,0.55,76.53,0.4,4.89,19.48,103
Baton Rouge,195.27,2.83,67.95,1.16,2.32,2.57,77
Raleigh,290.39,7.8,54.36,0.98,14.12,16.85,46
Montgomery,280.38,3.73,68.67,0.97,11.51,11.71,80
Meridian,220.3,2.49,71.53,0.77,7.93,8.23,89
The Villages,250.34,7.28,53.64,1.24,3.54,3.74,45
West Valley City,307.08,40.44,20.39,2.38,3.21,5.54,50
Delray Beach,323.77,30.16,3.53,2.77,3.34,4.36,37
Citrus Heights,220.3,4.16,74.39,0.19,0.63,1.36,98
Elgin,433.92,34.62,69.38,10.01,26.34,30.71,82
Bridgeport,580.79,65.12,2.71,1.39,19.86,27.43,81
Tracy,230.31,8.4,79.39,1.03,1.59,2.62,110
Youngs,293.73,8.4,41.49,0.38,18.5,20.44,56
Orem,283.72,26.39,45.06,1.76,2.87,4.52,38
Stamford,540.73,61.01,7.78,1.97,16.51,22.39,76
Fort Lauderdale,313.76,29.82,2.55,3.99,3.45,4.66,37
Boca Raton,333.79,32.9,1.14,3.87,3.74,5.0,41
Warner Robins,427.25,18.34,7.15,0.16,17.89,20.38,54
Lafayette,216.96,3.34,69.38,1.12,3.46,3.86,82
Brownsville,226.97,9.85,57.22,2.74,2.93,4.39,48
Allen,247.0,11.65,70.1,2.41,5.04,6.54,84
Victoria,287.06,14.74,39.7,2.56,2.65,3.16,33
Sunrise,250.34,12.0,14.84,1.27,1.98,3.04,15
Pharr,247.0,7.45,47.92,0.72,3.41,4.24,40
Davenport,263.69,6.08,77.96,2.71,7.44,7.56,107
Glendale,216.96,6.0,97.28,1.16,2.8,4.87,155
San Juan,201.94,0.22,45.42,0.17,3.89,7.66,38
Everett,277.04,10.63,55.79,2.3,3.09,3.97,47
Milpitas,310.42,27.42,42.2,2.71,6.74,15.22,35
High Point,303.75,11.48,63.66,1.88,15.03,16.97,64
Passaic,377.18,25.36,35.41,1.27,12.94,18.13,42
Lawrence,203.61,1.8,90.84,0.78,4.84,5.17,139
East Orange,357.15,19.88,46.49,1.59,11.23,15.26,39
Alameda,250.34,7.71,66.52,1.86,6.45,15.42,73
Des Moines,263.69,6.51,65.09,1.42,6.96,7.16,69
South Gate,267.03,15.94,98.71,3.93,5.39,8.47,159
San Ramon,176.91,4.33,16.81,0.04,7.14,11.92,23
Bend,223.64,3.86,41.49,0.12,0.5,0.64,35
Mobile,198.6,2.14,65.09,0.57,3.79,3.88,69
League City,220.3,10.45,68.67,2.47,2.76,3.73,80
Killeen,205.28,2.66,70.81,0.47,2.66,3.18,86
Arvada,196.93,5.66,76.53,1.55,3.8,5.01,103
Folsom,230.31,5.14,73.67,0.25,0.81,1.56,95
Alafaya,253.68,9.77,51.5,1.8,4.85,5.37,43
Avondale,188.59,4.37,108.72,0.2,4.03,10.69,184
Fayetteville,186.92,1.95,80.11,1.12,4.8,6.07,112
Richardson,243.66,11.31,71.53,2.3,4.8,6.41,89
Aurora,574.11,87.74,8.49,11.8,13.73,19.15,104
Jackson,233.65,6.0,52.21,0.21,5.1,6.56,44
Bellevue,390.53,36.67,13.59,2.74,6.04,8.98,45
Hollywood,216.96,6.0,97.28,1.16,2.8,4.87,155
Palmdale,205.28,2.57,94.41,0.55,3.65,5.86,148
Riverside,323.77,19.88,154.5,9.18,28.97,36.99,215
Akron,520.71,46.61,0.66,0.98,12.36,21.29,58
Gaithersburg,707.63,45.24,0.0,1.51,20.15,25.75,59
South San Francisco,220.3,1.31,76.53,0.84,6.0,15.45,103
Pasco,273.71,9.17,31.83,0.2,1.08,2.31,26
Bolingbrook,567.44,85.0,16.99,12.76,16.62,22.5,102
Oxnard,267.03,16.79,67.95,0.54,3.21,5.51,77
Gastonia,307.08,10.97,44.7,0.41,15.64,17.33,50
Fayetteville,186.92,1.95,80.11,1.12,4.8,6.07,112
New Braunfels,198.6,2.57,62.94,0.09,2.2,2.79,62
Salt Lake City,307.08,40.44,20.39,2.38,3.21,5.54,50
Columbia,307.08,7.88,52.93,0.5,19.8,21.35,58
Lincoln,243.66,3.98,80.11,2.41,9.41,9.75,112
Bayonne,193.6,4.03,37.55,0.37,7.73,11.3,31
Homestead,196.93,0.72,33.62,0.23,1.14,1.43,28
Jackson,233.65,6.0,52.21,0.21,5.1,6.56,44
Waukegan,293.73,9.6,110.15,4.23,8.24,9.97,187
Topeka,205.28,2.01,81.54,0.69,4.12,4.51,116
Norfolk,580.79,45.24,28.97,2.5,21.88,25.81,62
Boston,440.6,35.99,26.46,1.15,17.85,23.13,54
Johns Creek,310.42,12.17,54.36,1.19,17.66,19.44,54
Lynn,453.95,40.1,31.47,1.82,17.79,21.79,54
San Antonio,243.66,13.02,55.79,4.53,3.44,4.09,47
Simi Valley,201.94,1.48,104.43,0.2,2.56,4.14,173
Winston-Salem,277.04,9.43,71.53,4.83,14.63,16.52,89
Dallas,226.97,6.6,77.25,1.34,4.31,5.72,105
Laredo,226.97,2.53,62.23,0.77,2.68,2.99,60
Cary,290.39,7.8,54.36,0.98,14.12,16.85,46
Parma,627.52,12.85,10.73,0.38,62.76,83.11,144
Lauderhill,250.34,12.0,14.84,1.27,1.98,3.04,15
Pine Hills,250.34,8.57,54.36,1.31,4.68,5.04,46
Carmel,277.04,11.31,70.1,3.01,8.16,9.1,84
Bakersfield,210.29,1.99,98.71,0.65,3.4,4.6,159
Saint Cloud,247.0,5.57,73.67,1.19,17.36,24.56,95
West Palm Beach,317.1,24.68,8.49,2.24,3.13,3.88,30
Paterson,377.18,25.36,35.41,1.27,12.94,18.13,42
Clovis,211.95,1.09,101.57,0.29,1.99,2.62,166
Seattle,297.07,16.97,47.21,2.65,4.01,6.0,40
Missoula,200.27,4.41,33.98,0.02,0.83,0.9,28
West Covina,413.9,62.38,21.99,2.86,10.62,18.9,77
El Paso,186.92,2.04,71.53,0.58,5.91,16.17,89
Hawthorne,267.03,15.94,98.71,3.93,5.39,8.47,159
Lorain,273.71,7.45,92.98,4.05,6.0,7.28,144
Cicero,367.17,32.22,64.37,8.58,11.07,14.1,66
Concord,270.37,9.17,30.4,0.11,7.74,8.51,25
Norwalk,540.73,61.01,7.78,1.97,16.51,22.39,76
Atascocita,233.65,18.34,42.92,3.55,3.98,6.03,36
San Bernardino,534.06,65.8,95.84,5.9,43.73,51.58,152
Worcester,270.37,8.31,42.92,0.21,9.71,11.11,36
Cedar Park,206.95,5.4,63.66,0.48,2.53,3.26,64
Pembroke Pines,250.34,12.0,14.84,1.27,1.98,3.04,15
Amarillo,181.91,1.11,90.12,0.21,5.44,11.08,137
Chesapeake,534.06,45.24,5.99,0.9,25.6,30.75,70
Corona,317.1,23.99,118.73,8.23,21.06,28.01,201
Broken Arrow,203.61,3.51,76.53,0.59,3.19,3.46,103
Long Beach,310.42,26.05,83.69,8.94,7.5,12.88,121
Coral Springs,243.66,8.82,18.06,0.8,1.72,2.66,15
Mayagüez,185.25,0.61,22.35,0.38,3.14,6.56,18
Chandler,213.62,6.94,100.14,0.97,3.27,10.47,162
Sunrise Manor,206.95,4.28,110.15,0.57,3.63,19.81,187
Anchorage,247.0,0.28,62.23,0.02,0.5,0.95,60
Santa Rosa,211.95,1.54,65.09,0.43,3.79,8.19,69
Fairfield,220.3,7.28,47.21,0.07,0.88,2.08,40
Centennial,253.68,19.88,63.66,2.74,4.08,6.31,64
Elk Grove,273.71,13.54,64.37,0.92,1.4,2.18,66
Pompano Beach,333.79,32.9,1.14,3.87,3.74,5.0,41
Kansas City,233.65,8.74,74.39,4.71,5.91,6.54,98
Philadelphia,1134.87,54.84,0.0,5.36,36.82,48.0,92
Sioux City,223.64,1.91,82.97,1.19,3.87,4.09,119
Reading,226.97,8.4,32.9,1.27,7.86,8.85,27
Palo Alto,263.69,12.51,62.94,2.65,6.82,16.86,62
Mission Viejo,270.37,15.25,75.1,1.31,6.19,12.87,100
Reno,183.58,3.21,60.8,0.02,0.5,1.49,55
Goodyear,188.59,4.37,108.72,0.2,4.03,10.69,184
Hillsboro,270.37,12.51,15.2,0.19,4.17,6.18,15
Greensboro,373.84,15.77,60.08,0.9,18.58,20.35,56
Thousand Oaks,377.18,35.64,28.25,0.63,5.53,8.86,44
Las Cruces,176.91,1.02,80.11,0.26,5.67,15.46,112
El Monte,310.42,36.67,38.27,1.33,5.05,11.91,45
Minneapolis,420.57,42.5,22.35,1.97,6.03,7.63,53
Albuquerque,166.89,0.55,79.39,0.2,4.94,23.79,110
Sugar Land,263.69,15.42,57.22,4.65,4.36,6.1,48
Yuma,196.93,1.71,124.45,0.42,5.4,10.89,203
Camden,1134.87,54.84,0.0,5.36,36.82,48.0,92
Guaynabo,190.26,0.85,29.33,0.82,3.88,8.44,24
Eugene,226.97,1.13,63.66,0.69,4.25,5.33,64
Walnut Creek,243.66,11.31,61.51,3.61,2.93,6.21,57
Mount Vernon,267.03,3.98,103.0,2.77,17.61,18.6,170
Bloomington,236.99,3.47,75.82,2.09,7.99,8.65,102
Loveland,190.26,3.56,74.39,0.82,3.18,4.13,98
Brooklyn Park,290.39,9.68,52.21,0.31,2.15,3.37,44
Chicago,367.17,32.22,64.37,8.58,11.07,14.1,66
Fort Myers,240.33,2.91,32.19,0.37,1.2,1.4,27
Farmington Hills,440.6,22.96,17.17,0.72,8.24,11.48,28
Gary,287.06,10.11,85.83,10.97,7.22,8.26,127
Weston,267.03,7.37,45.78,2.44,3.83,4.8,38
Nashville,453.95,36.67,16.09,0.54,19.21,21.76,57
Pueblo,176.91,1.27,81.54,1.59,2.65,4.83,116
Austin,226.97,6.0,63.66,1.15,2.59,3.42,64
Santa Clarita,203.61,1.76,101.57,0.35,2.75,4.3,166
Pawtucket,377.18,20.91,32.9,0.57,11.71,14.58,38
Lancaster,453.95,34.96,3.44,0.23,11.75,20.26,43
Chico,216.96,1.33,72.24,0.27,0.72,1.05,91
Federal Way,494.0,49.35,0.59,3.46,7.69,12.06,61
Caguas,185.25,1.0,24.32,0.8,4.0,8.49,20
Roanoke,253.68,12.17,3.26,0.06,7.42,9.01,24
Kent,236.99,4.33,63.66,1.13,10.88,11.66,64
Highlands Ranch,253.68,19.02,71.53,4.59,3.68,5.31,89
Miami Gardens,230.31,10.8,20.03,1.54,1.83,2.64,16
Jacksonville,203.61,3.64,87.26,3.4,3.04,3.41,130
Vista,213.62,2.44,98.71,0.79,10.16,14.51,159
Las Vegas,206.95,4.28,110.15,0.57,3.63,19.81,187
Boynton Beach,303.75,28.45,5.99,2.53,3.26,4.08,35
Silver Spring,1375.2,60.32,0.0,3.82,38.0,49.78,95
Lakewood,213.62,10.54,60.8,0.95,3.5,5.61,55
Downey,417.23,57.58,41.13,6.14,7.42,12.82,71
Irving,226.97,7.03,77.96,1.76,5.05,6.37,107
Manchester,273.71,13.02,29.33,2.41,1.73,3.52,24
Waukesha,293.73,8.48,75.1,1.48,5.95,7.19,100
Los Angeles,216.96,6.0,97.28,1.16,2.8,4.87,155
Corpus Christi,253.68,9.34,59.37,2.41,4.97,5.74,51
Lake Charles,208.62,2.27,67.95,0.59,3.24,3.62,77
Arlington,226.97,5.48,82.97,2.59,6.04,7.15,119
Perris,267.03,8.05,115.87,3.87,18.66,26.37,200
Chino Hills,340.46,35.64,67.23,9.06,11.44,17.65,75
San Leandro,290.39,23.65,45.06,2.92,6.68,15.28,38
Duluth,243.66,2.23,65.09,0.57,0.61,1.13,69
Carolina,186.92,0.8,25.03,0.65,4.14,7.95,21
San Buenaventura,205.28,3.77,94.41,0.24,2.25,3.7,148
Harlingen,213.62,3.98,57.94,0.16,2.66,3.74,49
Tyler,196.93,1.63,59.37,0.2,3.66,4.51,51
Bellflower,417.23,57.58,41.13,6.14,7.42,12.82,71
Ponce,166.89,0.34,17.35,0.18,2.75,6.51,14
